title,author,author_company,repo,number,closed,created_at,closed_at,updated_at,labels,thumbs_up,thumbs_down
Unexpected behavior for TraceQL query using !< (not-parent) operator,priettt,,grafana/tempo,4804,false,2025-03-07 23:50:12,,2025-03-10 22:04:47,,58,42
Create role to install pyroscope,copolycube,,grafana/grafana-ansible-collection,333,false,2025-03-07 22:24:04,,2025-03-07 22:24:04,,97,3
Allow Customization of ChunksCache and ResultsCache PVC Usage Percentage,earimont-ib,,grafana/loki,16648,false,2025-03-07 22:22:03,,2025-03-12 18:23:31,"component/storage, type/bug",34,66
Auth: auth.anonymous.org_name config is truncated at first space when provided via environment variable,yangskyboxlabs,SkyBox Labs,grafana/grafana,101836,false,2025-03-07 22:15:33,,2025-03-07 22:18:55,"type/bug, area/auth, automated-triage",40,60
Investigate limiting response sizes,sarahzinger,@grafana ,grafana/google-sheets-datasource,316,false,2025-03-07 20:16:51,,2025-03-07 20:16:51,,41,59
Roadmap,inancgumus,@grafana,grafana/xk6-replit,8,false,2025-03-07 19:53:31,,2025-03-07 19:53:41,,74,26
Append statements to a script,inancgumus,@grafana,grafana/xk6-replit,7,false,2025-03-07 19:45:18,,2025-03-07 19:45:27,script-authoring,65,35
Remote REPLIT,inancgumus,@grafana,grafana/xk6-replit,6,false,2025-03-07 19:40:40,,2025-03-07 19:40:40,remote,82,18
Run a script line by line,inancgumus,@grafana,grafana/xk6-replit,5,false,2025-03-07 19:31:41,,2025-03-07 19:35:10,debugger,22,78
mixin: Add request/sec floor to cache request error alert,56quarters,@grafana,grafana/mimir,10831,true,2025-03-07 17:45:36,2025-03-07 19:52:19,2025-03-07 19:52:19,"bug, memcached, mixin",16,84
Ability to have a per service routes config,gouthamve,Grafana Labs,grafana/beyla,1726,false,2025-03-07 16:13:58,,2025-03-07 16:13:58,,23,77
Docs: Add more clarity to geomap tooltip function,imatwawana,,grafana/grafana,101813,false,2025-03-07 16:13:40,,2025-03-07 19:15:11,"type/docs, internal",67,33
Support mage build for the linux/s390x,dmitryk-dk,@VictoriaMetrics,grafana/grafana-plugin-sdk-go,1257,true,2025-03-07 15:31:01,2025-03-12 10:40:31,2025-03-12 10:40:31,enhancement,7,93
Datasource proxy: some prometheus authenticated queries are stuck & timeouts,mxbossard,Agirc-Arrco,grafana/grafana,101810,false,2025-03-07 15:28:59,,2025-03-07 15:32:22,"type/bug, datasource/Prometheus, area/explore, type/regression, automated-triage",90,10
Add support for Chromium,cristianoventura,,grafana/k6-studio,533,false,2025-03-07 15:12:25,,2025-03-07 15:12:44,enhancement,70,30
Task: Invite user button in top bar,juanicabanas,Grafana,grafana/grafana,101806,true,2025-03-07 15:11:53,2025-03-07 19:10:01,2025-03-07 19:10:01,internal,79,21
Incorrect handling of url file or api key file in configuration,daanschipper,,grafana/alerting,301,false,2025-03-07 15:11:25,,2025-03-07 19:19:21,,81,19
Allow Push api to modify pprof sample values,korniltsev,@grafana,grafana/pyroscope,3979,true,2025-03-07 14:52:27,2025-03-10 08:12:47,2025-03-10 08:12:47,,90,10
Dashboards: Bad url redirect when viewing dashboards in a different org,marvincudjoe,,grafana/grafana,101797,true,2025-03-07 14:37:45,2025-03-14 10:26:19,2025-03-14 10:26:21,"type/bug, area/navigation, type/regression, automated-triage",25,75
Prometheus: Time range change should be reflected in variable calls,itsmylife,@grafana,grafana/grafana,101793,false,2025-03-07 14:12:38,,2025-03-10 16:00:50,"type/bug, prio/high, datasource/Prometheus, effort/x-large, internal",58,42
Out-of-Order Sample Errors with Alloy Remote Write to Mimir,girish-ms,,grafana/mimir,10829,true,2025-03-07 13:56:26,2025-03-07 16:25:13,2025-03-07 16:25:13,,80,20
Organizations support with external grafana,prog76,,grafana/grafana-operator,1889,false,2025-03-07 13:33:07,,2025-03-10 13:00:40,triage/needs-information,32,68
Logs & Table Panel: Filters as links,gtk-grafana,Grafana Labs,grafana/logs-drilldown,1119,false,2025-03-07 13:21:30,,2025-03-07 13:21:30,feedback-form,98,2
Basic authentication is not working,zoltanbedi,@grafana ,grafana/grafana-zabbix,1986,false,2025-03-07 13:15:02,,2025-03-13 22:19:52,"type/bug, comp: backend",54,46
RADS: Reporting redesign,natydej,,grafana/grafana,101773,false,2025-03-07 11:57:32,,2025-03-07 12:04:15,"internal, team/grafana-sharing",3,97
Using `ForceEnvelope` with enum & string conjunctions in CUE generate invalid code,radiohead,@grafana,grafana/cog,770,true,2025-03-07 11:41:19,2025-03-07 16:20:58,2025-03-07 16:20:58,area:parsers,9,91
Modify dashboard variables via JS,mrwolf2025,,grafana/grafana,101771,false,2025-03-07 11:40:41,,2025-03-07 11:43:56,"type/feature-request, automated-triage, area/dashboard/variable",79,21
Migrate or shim BBE logger arguments to `slog`,nadiamoe,@grafana ,grafana/synthetic-monitoring-agent,1238,false,2025-03-07 10:08:50,,2025-03-17 14:13:23,,47,53
Digital Ocean SD relabeling doesn't wprk,rmalenko,,grafana/alloy,2927,false,2025-03-07 10:01:29,,2025-03-07 10:08:11,bug,38,62
Display warning to users not using the latest version,going-confetti,@grafana,grafana/k6-studio,532,false,2025-03-07 09:08:28,,2025-03-07 09:08:28,needs-triage,14,86
Alloy faro.receiver log_format doesn't work,clementduveau,Grafana Labs,grafana/alloy,2925,false,2025-03-07 08:55:07,,2025-03-07 08:55:07,bug,57,43
Alert mentioning a ms Teams User,kevinabat,,grafana/grafana,101764,false,2025-03-07 08:54:59,,2025-03-14 07:08:19,"type/feature-request, area/alerting, automated-triage",62,38
Bump .nvmrc to 22,zoltanbedi,@grafana ,grafana/grafana-zabbix,1984,true,2025-03-07 08:47:45,2025-03-10 13:40:27,2025-03-10 13:40:27,,92,8
Chores,zoltanbedi,@grafana ,grafana/grafana-zabbix,1983,false,2025-03-07 08:47:31,,2025-03-17 14:10:17,,93,7
Inspect data -> copy to clipboard,DevAlsicJanDeclercq,,grafana/grafana,101761,false,2025-03-07 08:27:45,,2025-03-07 08:31:03,"type/feature-request, area/data/export, automated-triage",44,56
Table: Colored Background Cells Overlap Row Dividers in Table Panel broken a table view (Since 11.1.0),archer-v,@starshiptroopers ,grafana/grafana,101759,true,2025-03-07 07:27:56,2025-03-12 13:21:16,2025-03-12 13:21:36,"type/bug, area/panel/table, area/frontend/library-panels, type/regression, team/grafana-dashboards, automated-triage",88,12
Rendered image with context `Grafana Image Renderer` not the png,Huimintai,Tencent Cloud,grafana/grafana-image-renderer,608,false,2025-03-07 07:08:56,,2025-03-11 14:28:05,,75,25
[New Data Source]: cloud logs exporter,XGrowthVishal,,grafana/grafana,101758,false,2025-03-07 06:56:38,,2025-03-07 06:56:38,"area/datasource, type/new-plugin-request",79,21
"OnCall: Plugin fails to load after Grafana pod restart, requires manual API call",therealdwright,@BitGo,grafana/oncall,5491,false,2025-03-07 06:29:10,,2025-03-07 15:12:46,needs triage,74,26
"Grafana OnCall plugin fails to load after Grafana pod restart, requires manual API call",therealdwright,@BitGo,grafana/oncall,5490,false,2025-03-07 06:21:20,,2025-03-07 06:24:18,"bug, part:helm/kubernetes/docker, needs triage",10,90
Leader,Burberrysmart,,grafana/writers-toolkit,1088,false,2025-03-07 02:23:29,,2025-03-07 09:57:53,,43,57
[DOCS] Expand Metrics Drilldown docs to provide more detailed user guidance,tacole02,,grafana/metrics-drilldown,157,false,2025-03-07 01:07:08,,2025-03-07 17:52:10,type/docs,46,54
[DOCS] Manual installations for GEM dashboards,tacole02,,grafana/mimir,10825,true,2025-03-07 00:50:41,2025-03-07 01:27:54,2025-03-07 01:27:54,type/docs,88,12
Error when upgrading to Loki helm chart 6.27.0,Tolsto,,grafana/loki,16617,false,2025-03-07 00:42:43,,2025-03-12 18:23:06,"area/helm, type/bug, upgrade",52,48
component specific labels being added to other components in helm chart,snuggie12,,grafana/loki,16616,false,2025-03-07 00:23:04,,2025-03-12 18:23:10,type/bug,16,84
Geomap: Unify Marker Sizing,drew08t,,grafana/grafana,101749,false,2025-03-06 23:42:37,,2025-03-06 23:51:32,"area/panel/geomap, internal",37,63
Chore: Add Enterprise unit testing path,baldm0mma,,grafana/grafana,101747,true,2025-03-06 23:26:54,2025-03-13 18:13:15,2025-03-13 18:13:16,"type/ci, no-changelog, internal",11,89
`import.git` unable to import from Azure DevOps Repository,begamnify,,grafana/alloy,2924,false,2025-03-06 21:19:38,,2025-03-06 21:45:16,"bug, documentation, type/docs",54,46
Docs: Update guidance for abbreviations,imatwawana,,grafana/writers-toolkit,1087,true,2025-03-06 20:01:39,2025-03-17 15:05:07,2025-03-17 15:05:07,type/docs,40,60
Docs: add more examples of dashboard variables in transformations,imatwawana,,grafana/grafana,101734,false,2025-03-06 19:59:42,,2025-03-06 19:59:46,"type/docs, internal",7,93
incorrect level detection,swills,,grafana/loki,16611,false,2025-03-06 18:20:38,,2025-03-12 18:21:52,type/bug,62,38
`grafana_cloud_access_policy_token` can take up to 10 minutes to be active,charlierm,,grafana/terraform-provider-grafana,2060,false,2025-03-06 17:37:22,,2025-03-06 17:37:22,,79,21
MCP configuration not working,franroa,,grafana/mcp-grafana,28,true,2025-03-06 17:05:53,2025-03-06 17:16:32,2025-03-06 17:16:32,,61,39
Update usetesting configuration in golangci-litn,mstoykov,,grafana/k6,4609,false,2025-03-06 16:36:29,,2025-03-06 16:36:29,ci,81,19
Allow setting of environment variables when validating an external script,Llandy3d,@grafana,grafana/k6-studio,530,false,2025-03-06 16:12:56,,2025-03-07 09:08:54,"enhancement, needs-triage",50,50
Grafana alerts fail to connect to multiple datasources at the same time,IvanovOleg,,grafana/grafana,101719,true,2025-03-06 15:54:29,2025-03-13 16:49:28,2025-03-13 16:49:29,"type/bug, area/alerting, datasource/Prometheus, automated-triage",4,96
windows_iis_total_application_pool_start_time timestamp query,mark4409,,grafana/alloy,2922,false,2025-03-06 15:43:55,,2025-03-07 09:28:09,bug,19,81
Ability to enable Grafana metrics,nickbroon,Graphiant,grafana/grafana-ansible-collection,332,false,2025-03-06 15:36:00,,2025-03-11 21:13:04,,1,99
Map missing Beyla options in Alloy component,,,grafana/beyla,1725,true,2025-03-06 15:05:03,2025-03-11 10:32:33,2025-03-11 10:32:33,,37,63
Task: Make `TimeRangeInput` component compatible with `Drawer` component,juanicabanas,Grafana,grafana/grafana,101708,false,2025-03-06 14:58:46,,2025-03-06 14:58:46,internal,64,36
How to enable zero-ingestion feature flag?,metinogurlu,@NordSecurity,grafana/mimir,10822,true,2025-03-06 14:43:14,2025-03-06 15:06:29,2025-03-06 15:06:29,,88,12
[helm] Split `loki-ruler` Service into regular and headless Services,z0rc,@healthjoy,grafana/loki,16607,false,2025-03-06 14:22:02,,2025-03-12 18:21:10,type/feature,21,79
Feature Request for Robot Framework,kstine,,grafana/xk6-python,1,false,2025-03-06 14:13:10,,2025-03-06 14:13:10,,62,38
Terraform requests 429 against endpoint /api/v1/users/ with Grafana service account,FecoDoo,,grafana/oncall,5483,false,2025-03-06 13:57:37,,2025-03-06 13:57:51,"bug, part:Terraform/Crossplane, needs triage",83,17
Add an option to disable notifications for empty schedule slots,tara-jorgensen,,grafana/oncall,5481,false,2025-03-06 13:14:55,,2025-03-06 13:15:18,"feature request, part:schedules, needs triage",62,38
Alerts Routed to Default Route Despite Conditional Configuration in Grafana OnCall,aelogonpin,IES Triana,grafana/oncall,5480,false,2025-03-06 13:00:51,,2025-03-06 13:01:07,"bug, part:alert flow & configuration, needs triage",77,23
"Prophet: regressors should default to holiday prior scale, not seasonality prior scale",sd2k,Grafana Labs,grafana/augurs,256,false,2025-03-06 12:47:55,,2025-03-06 12:48:09,"bug, good first issue, prophet",93,7
Dashboards: Panel Shows No Data After Upgrading to Grafana 11 with Mixed Datasource,prasadkris,,grafana/grafana,101696,false,2025-03-06 12:37:50,,2025-03-06 12:41:07,"type/bug, datasource/Graphite, type/regression, area/dashboards/panel, automated-triage",82,18
"Delete request is stuck in ""received""",phyzical,,grafana/loki,16606,false,2025-03-06 11:56:27,,2025-03-12 18:20:53,type/bug,19,81
AttributeError when creating a grafana_alerting Integration via the http api,Mewp,,grafana/oncall,5479,false,2025-03-06 11:30:24,,2025-03-06 11:30:39,"bug, needs triage, part:API",3,97
Indicate Partial Responses in Tags and Tag Values,javiermolinar,Grafana Labs,grafana/tempo,4800,false,2025-03-06 11:23:06,,2025-03-06 13:19:03,area/query,34,66
Documentation feedback: /docs/sources/configure/examples/configuration-examples.md,iam-ehsan,,grafana/loki,16603,false,2025-03-06 11:13:40,,2025-03-11 20:02:31,type/question,53,47
[Bug] UQL csv parser inconsistent for numbers,Hossz1,,grafana/grafana-infinity-datasource,1169,false,2025-03-06 10:57:27,,2025-03-10 11:56:04,,35,65
Video.js HLS Streaming,blakuxberry,,grafana/grafana,101681,false,2025-03-06 10:55:20,,2025-03-06 10:58:30,"type/bug, area/streaming, type/regression, automated-triage, area/dashboard/tv",100,0
Add new languages to codebase ,joshhunt,@grafana,grafana/grafana,101680,true,2025-03-06 10:48:54,2025-03-11 10:07:17,2025-03-11 10:07:17,area/internationalization,26,74
k8s-monitoring chart: Can't configure max_backoff_retries variable for loki destination | default values leads to not sending logs anymore on too many errors,stefanandres,"Anaconda, Inc",grafana/k8s-monitoring-helm,1302,true,2025-03-06 10:24:41,2025-03-10 18:49:14,2025-03-10 19:18:52,,14,86
Does this work for v9.5.20,dellingo,,grafana/database-migrator,22,false,2025-03-06 10:10:15,,2025-03-06 10:10:15,,58,42
Loki Helm Chart Configuration Issues (use_thanos_objstore),TreeKat71,,grafana/loki,16599,false,2025-03-06 09:10:11,,2025-03-14 03:50:00,"type/feature, area/helm, storage/thanos",68,32
Add instance built-in tag,rtnba,,grafana/loki,16598,false,2025-03-06 08:47:36,,2025-03-12 18:19:15,type/feature,76,24
Add Transformation Examples dashboard to provisioned environments,monodot,@grafana ,grafana/extreme-dashboard-makeover-breakouts,31,false,2025-03-06 08:46:36,,2025-03-06 08:46:36,,2,98
Consolidate Multiple Pod Replica Logs into a Single Stream in Loki,ShadabAkram,,grafana/loki,16597,false,2025-03-06 08:07:10,,2025-03-15 22:49:19,"type/feature, component/promtail",45,55
Make Migrations idempotent,Affanmir,,grafana/oncall,5478,false,2025-03-06 07:30:55,,2025-03-06 07:31:25,"feature request, part:helm/kubernetes/docker, needs triage",12,88
dashboard.withPanels returns RUNTIME ERROR if input exceeds 500 panels,binhal,,grafana/grafonnet,242,true,2025-03-06 06:54:24,2025-03-07 09:18:04,2025-03-07 09:18:04,,66,34
[dependabot-npm_and_yarn-textlint-14.4.2] is STALE,,,grafana/alloy-modules,71,false,2025-03-06 06:06:29,,2025-03-17 06:07:04,stale branch 🗑️,88,12
pyroscope pod goes in crashloopbackoff if deployed via argocd in case minio is enabled,tayalrishabh96,,grafana/pyroscope,3975,false,2025-03-06 03:56:27,,2025-03-06 04:21:06,,98,2
Query Editor:  SELECT VALUE query for CosmosDb Produces a JSON error.,negusm,,grafana/grafana,101665,false,2025-03-06 00:23:59,,2025-03-12 14:54:55,"type/bug, area/explore, good first issue, datasource/azure-cosmosdb, automated-triage",95,5
join resources,AkakievKD,,grafana/terraform-provider-grafana,2059,false,2025-03-06 00:08:38,,2025-03-06 00:08:38,,95,5
Please document that trigger-argo-workflow needs id-token: write,mem,@grafana,grafana/shared-workflows,832,false,2025-03-05 22:58:41,,2025-03-05 23:01:37,,70,30
Dashboards: URL query parameters lost when specifying data source name in URL,petern48,@firetiger-inc,grafana/grafana,101655,false,2025-03-05 20:50:25,,2025-03-05 20:53:45,"type/bug, area/dashboard/links, automated-triage",55,45
Improper handling of paths with spaces,NRCan-LGariepy,,grafana/vscode-alloy,8,false,2025-03-05 19:33:58,,2025-03-05 19:37:25,,41,59
handler queue full,eric-engberg,,grafana/alloy,2916,false,2025-03-05 19:31:45,,2025-03-17 18:32:40,bug,53,47
Can we have a release of this package?,mzhaom,Facebook,grafana/grafonnet,241,false,2025-03-05 18:52:25,,2025-03-08 22:17:51,,65,35
Could not retrieve the list of available versions for provider hashicorp/grafana,zelentsovl,@Luxoft,grafana/terraform-provider-grafana,2058,false,2025-03-05 18:12:50,,2025-03-06 14:18:02,,45,55
Compatibility Issue: Flowcharting Plugin Not Working in Grafana 11.5.1,Aftabmoin,,grafana/grafana,101640,false,2025-03-05 18:04:30,,2025-03-05 18:04:30,"area/datasource, type/new-plugin-request",26,74
Add global override for $__interval,charlax,,grafana/grafana,101638,false,2025-03-05 17:32:38,,2025-03-05 17:35:59,"type/feature-request, area/dashboard/templating, automated-triage",70,30
InfluxDB: adhoc filters not handled for raw queries,beejeebus,,grafana/grafana,101635,true,2025-03-05 17:08:28,2025-03-17 16:07:34,2025-03-17 16:07:35,"type/bug, datasource/InfluxDB",75,25
Make it possible to open Settings with specific tab selected,going-confetti,@grafana,grafana/k6-studio,525,true,2025-03-05 16:24:20,2025-03-12 12:43:54,2025-03-12 12:43:54,enhancement,76,24
Update UI for any doc changes,knylander-grafana,Grafana,grafana/traces-drilldown,354,false,2025-03-05 16:20:04,,2025-03-05 16:20:59,type/docs,92,8
Docs: update screenshot guidelines,imatwawana,,grafana/writers-toolkit,1084,true,2025-03-05 15:48:29,2025-03-17 19:51:37,2025-03-17 19:51:37,type/docs,2,98
Task: Modify CollapsableSection UI,juanicabanas,Grafana,grafana/grafana,101629,false,2025-03-05 15:40:29,,2025-03-05 15:40:29,internal,4,96
Increase verbosity in beyla logs,mbaykara,@Grafana,grafana/beyla,1718,false,2025-03-05 15:03:48,,2025-03-05 15:16:03,,54,46
alloy-logs should set tolerations,petewall,Grafana Labs,grafana/k8s-monitoring-helm,1298,true,2025-03-05 15:03:09,2025-03-05 18:00:26,2025-03-05 18:00:26,,24,76
Trace sometimes doesnt render,joe-elliott,,grafana/traces-drilldown,353,false,2025-03-05 14:59:00,,2025-03-10 14:51:34,,96,4
[Bug] Loki backend envFrom issue,Baasanjargale,,grafana/loki,16565,false,2025-03-05 14:27:47,,2025-03-12 18:18:25,type/bug,79,21
Move loki-release off of loki-build-image,paul1r,Grafana Labs,grafana/loki-release,224,false,2025-03-05 14:21:25,,2025-03-05 14:21:25,,97,3
Feature request: see all of the HTTP request headers in the span attribute window,neilkuan,,grafana/beyla,1717,false,2025-03-05 14:11:09,,2025-03-05 15:32:13,,27,73
Add logs enrich,v-zhuravlev,,grafana/alloy,2910,false,2025-03-05 14:06:05,,2025-03-05 14:11:22,proposal,85,15
"TraceQL comments fail when they have certain text e.g., `| count_over_time()`",0x006EA1E5,Ocado Technology,grafana/grafana,101628,false,2025-03-05 13:54:35,,2025-03-05 15:27:17,"type/bug, area/explore, area/tracing, datasource/Tempo",68,32
"universal foreach block that might be used to template configuration of any block inside alloy config, dynamic configuration",bolt1777,,grafana/alloy,2909,false,2025-03-05 12:42:41,,2025-03-05 12:42:41,enhancement,43,57
Plugins Platform - Add logging for object mutations,tolzhabayev,Grafana Labs,grafana/grafana,101614,false,2025-03-05 11:54:50,,2025-03-05 11:54:59,"area/plugins, internal",18,82
Plugins Platform - Improve proxy object handling,tolzhabayev,Grafana Labs,grafana/grafana,101613,false,2025-03-05 11:52:30,,2025-03-05 11:53:26,"area/plugins, internal",73,27
GitHubActionsReceiver/Logs: Handling of multiline strings in log files,zerok,Grafana Labs,grafana/grafana-ci-otel-collector,217,false,2025-03-05 09:49:48,,2025-03-05 09:49:48,"bug, receiver/github",88,12
First letter in every word being duplicated in the Query Editor,mzacchi,,grafana/grafana,101605,true,2025-03-05 09:45:33,2025-03-05 15:56:04,2025-03-05 15:56:04,"type/bug, area/editor, automated-triage",39,61
lambda-promtail regex fails for vpc flow logs with hourly partition,declan-fitzpatrick,Synthesis Software Technologies (Pty) Ltd,grafana/loki,16560,false,2025-03-05 09:21:43,,2025-03-12 18:17:56,"lambda-promtail, type/bug",99,1
[prometheus.scrape ] encoding.from_json target::ConvertFrom failure,akselleirv,Telenor Norway,grafana/alloy,2908,true,2025-03-05 08:36:05,2025-03-05 17:29:56,2025-03-05 17:29:56,bug,47,53
[grafana-sampling] Update flush interval for otelcol.connector.servicegraph,bradleypettit,@Grafana,grafana/helm-charts,3588,true,2025-03-05 04:55:00,2025-03-05 17:27:10,2025-03-05 17:27:10,,97,3
Support DeepSeek as LLM Provider,FKAJerry,,grafana/grafana-llm-app,584,false,2025-03-05 03:46:32,,2025-03-05 03:49:44,,30,70
Plugins path on grafana role don't match when modified,allancalix,@Shopify,grafana/grafana-ansible-collection,331,false,2025-03-05 02:48:51,,2025-03-05 02:49:06,,56,44
[New Data Source]: zabbix,hungtpq,,grafana/grafana,101595,true,2025-03-05 02:20:46,2025-03-05 02:31:13,2025-03-05 02:31:14,"area/datasource, type/new-plugin-request",15,85
[beyla.ebpf] Allow using a standard Beyla config file,Amoolaa,,grafana/alloy,2907,false,2025-03-05 00:49:07,,2025-03-05 00:49:07,enhancement,27,73
Periodic Memory spikes in Ingester usage (from 2gb jumping to 8gb every 10-15 minutes),darkwind-noveo,,grafana/tempo,4792,true,2025-03-05 00:24:19,2025-03-05 16:03:13,2025-03-05 16:03:44,,79,21
Transformations - Variables interpolate in UI,gelicia,Grafana,grafana/grafana,101593,true,2025-03-05 00:15:47,2025-03-05 02:06:26,2025-03-05 02:06:26,"type/bug, area/transformations, internal, area/dashboard/variable",92,8
Dashboard variables still broken for DataSourceVariableSupport when used with DataSourceWithBackend plugin,rnterbush,@AppDynamics,grafana/scenes,1068,true,2025-03-04 23:20:45,2025-03-07 12:06:04,2025-03-07 12:06:04,,62,38
Add support for importing all jsonnet files in a directory,partcyborg,,grafana/tanka,1375,false,2025-03-04 23:20:36,,2025-03-14 19:07:52,,65,35
Tempo takes too long to start - possible S3 issue?,jhuspek,"T-Mobile Czech Republic, a.s.",grafana/tempo,4791,true,2025-03-04 23:00:20,2025-03-10 12:20:56,2025-03-10 12:20:58,,39,61
.ruler_storage configuration used by -use-thanos-objstore=true lacks named_storage field,ringerc,EnterpriseDB,grafana/loki,16544,false,2025-03-04 22:43:10,,2025-03-12 18:00:37,"component/ruler, type/bug, storage/thanos",15,85
Add a resource to create projects for performance testing in grafana cloud,ceastman-r7,Rapid7,grafana/terraform-provider-grafana,2057,false,2025-03-04 22:34:11,,2025-03-04 22:34:11,,96,4
"When -use-thanos-objstore=true .ruler_storage config partially overrides .ruler.storage (""Ruler storage is not configured"" error); ruler must be configured in both places to start",ringerc,EnterpriseDB,grafana/loki,16543,false,2025-03-04 22:12:15,,2025-03-12 18:00:02,"type/bug, storage/thanos",14,86
Debug compression ratio in loki.write,dehaansa,Grafana Labs,grafana/alloy,2906,false,2025-03-04 22:08:51,,2025-03-04 22:08:51,enhancement,25,75
Fix CVE-2024-53382 - PrismJS - Grafana - plugins/datasource,rgoltz,@dbsystel,grafana/grafana,101587,true,2025-03-04 21:22:58,2025-03-12 08:23:02,2025-03-12 08:23:02,"area/security, datasource/GoogleCloudMonitoring, datasource/Azure, datasource/Tempo, datasource/grafana-pyroscope, automated-triage",53,47
Docs feedback: Windows Certificate Filter swaps values for store & system_store,dehaansa,Grafana Labs,grafana/alloy,2901,true,2025-03-04 20:04:57,2025-03-04 20:55:12,2025-03-04 20:55:13,type/docs,42,58
pkg/extentions flaky test,baldm0mma,,grafana/grafana,101578,true,2025-03-04 19:44:42,2025-03-05 22:53:07,2025-03-05 22:53:09,"area/backend, type/ci, internal, tests/flaky",61,39
upgrade axios,koladilip,Rudderstack,grafana/pyroscope-nodejs,111,false,2025-03-04 19:07:19,,2025-03-14 09:14:54,,79,21
"Golang alloc profiles appear to be ""double delta'd""",dalehamel,Shopify Inc.,grafana/pyroscope,3970,true,2025-03-04 17:43:21,2025-03-06 13:40:39,2025-03-06 13:40:40,,92,8
Refactor Load Zones to fetch from API,cristianoventura,,grafana/k6-studio,522,false,2025-03-04 17:14:19,,2025-03-04 17:14:33,enhancement,71,29
Consider using k6 response.json() for extracting values from responses,going-confetti,@grafana,grafana/k6-studio,521,false,2025-03-04 16:26:19,,2025-03-07 09:09:14,debt,64,36
Product Area: Short description of bug Metrics Drilldown: Selecting __name__ filter breaks queries,bohandley,Grafana,grafana/grafana,101556,false,2025-03-04 15:15:43,,2025-03-04 15:27:19,"area/frontend, internal, area/exploremetrics",25,75
Add support for browser history,NWRichmond,Grafana,grafana/metrics-drilldown,132,false,2025-03-04 14:55:25,,2025-03-04 14:55:25,,86,14
[feature] Suggest a time windows to look at,simonswine,@grafana,grafana/explore-profiles,449,false,2025-03-04 14:49:12,,2025-03-04 14:50:00,,70,30
Allow adding custom environment variables,jrauschenbusch,Robert Bosch GmbH,grafana/tempo-operator,1135,false,2025-03-04 13:49:31,,2025-03-04 13:49:31,,87,13
Explore: Query Inspector doesn't work for Graphite queries in Explore,ifrost,,grafana/grafana,101552,false,2025-03-04 13:26:49,,2025-03-10 14:59:55,"type/bug, prio/medium, area/explore",12,88
resultsCache is not used,patsevanton,,grafana/loki,16540,false,2025-03-04 13:03:38,,2025-03-12 17:59:36,type/bug,23,77
not getting all the labels when using alloy for scraping metrics w.r.t pods,navnitkum,,grafana/alloy,2895,false,2025-03-04 12:57:26,,2025-03-04 12:57:26,bug,69,31
Profiles: Runtime Error when viewing some Profile Types,SeamusGrafana,,grafana/grafana,101551,false,2025-03-04 12:08:56,,2025-03-12 08:22:13,"type/bug, prio/medium, area/profiling, internal, datasource/grafana-pyroscope",91,9
kube-prometheus-stack compatibility,Utwo,@theydo ,grafana/k8s-monitoring-helm,1296,false,2025-03-04 11:18:19,,2025-03-04 11:18:19,,86,14
highlight of searched data not working in request URL field,Llandy3d,@grafana,grafana/k6-studio,520,false,2025-03-04 10:47:29,,2025-03-04 10:47:35,bug,98,2
feature request: slack footer,kombi9,,grafana/alerting,297,false,2025-03-04 10:11:01,,2025-03-04 10:11:01,,76,24
Mimir Distributor OOM,KrishnaJyothika,,grafana/mimir,10790,true,2025-03-04 10:02:07,2025-03-05 07:57:52,2025-03-05 07:57:52,,97,3
"`storage_prefix` configuration no longer accept special characters, such as `/`",julienvey,CrowdStrike,grafana/pyroscope,3968,false,2025-03-04 09:43:31,,2025-03-04 09:44:40,,97,3
Java agent invalid_argument unexpected EOF,xiangyuwang-stripe,,grafana/pyroscope-java,180,false,2025-03-04 07:08:20,,2025-03-05 06:51:47,,69,31
The long number displayed is wrong when elasticsearch as datasource in grafana.,geniuslc11,,grafana/grafana,101544,false,2025-03-04 05:54:03,,2025-03-10 16:50:58,"type/bug, datasource/Elasticsearch, area/frontend/library-panels, automated-triage",87,13
State Timeline: Support series names above the timeline bars,joeblubaugh,@grafana,grafana/grafana,101542,false,2025-03-04 03:13:42,,2025-03-04 03:24:51,"area/dashboard, area/panel/state-timeline",47,53
Helm chart fails to create the sidecar in the ruler pod in microservices (distributed) mode,mwtzzz,,grafana/loki,16529,false,2025-03-04 00:41:27,,2025-03-12 17:58:35,"component/ruler, area/helm, type/bug",86,14
Polar Plot Capability Directly from Grafana,jackplourde,California Polytechnic State University ,grafana/grafana,101539,false,2025-03-04 00:02:10,,2025-03-04 00:37:33,"type/feature-request, automated-triage, area/panel/polarplot",80,20
The oncall plugin does not connect.,Bolywar,,grafana/oncall,5475,false,2025-03-03 21:45:24,,2025-03-11 14:53:08,"bug, part:helm/kubernetes/docker, needs triage",45,55
Chore: Post-install notes,petewall,Grafana Labs,grafana/k8s-monitoring-helm,1294,false,2025-03-03 20:10:28,,2025-03-03 20:11:40,,3,97
resource detection validations for receivers in deployment mode,rlankfo,@grafana,grafana/k8s-monitoring-helm,1293,false,2025-03-03 19:43:06,,2025-03-03 19:43:06,,63,37
Spans not being added to profiles,eric-engberg,,grafana/otel-profiling-java,16,false,2025-03-03 19:31:26,,2025-03-04 02:49:20,,36,64
"Rendered Graph is blank with a loading spinner and text ""loading""",tebriel,,grafana/grafana-image-renderer,606,false,2025-03-03 19:00:38,,2025-03-06 16:30:28,,57,43
